День,№ Кампании,Название кампании,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽"
01.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,1464.00,4,1,25.00,1464.00
01.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1078.05,8,0,0.00,-
01.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3630.39,61,3,4.92,1210.13
01.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,177.84,1,0,0.00,-
01.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,33.27,1,0,0.00,-
01.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,0.00,0,0,-,-
02.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2802.13,46,4,8.70,700.53
02.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,196.31,3,0,0.00,-
02.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,1644.73,9,1,11.11,1644.73
02.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,13.98,2,0,0.00,-
02.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,0,0,-,-
02.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,526.54,3,0,0.00,-
02.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1047.39,8,0,0.00,-
02.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,405.44,7,1,14.29,405.44
02.05.2026,115971938,10. Форма | РСЯ,3108.04,58,1,1.72,3108.04
02.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,2,0,0.00,-
03.05.2026,115971938,10. Форма | РСЯ,0.00,0,0,-,-
03.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,0,0,-,-
04.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,202.88,3,0,0.00,-
04.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,275.82,6,0,0.00,-
04.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,2059.75,17,1,5.88,2059.75
04.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2573.53,55,6,10.91,428.92
04.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
04.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,223.56,7,0,0.00,-
04.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,511.28,9,0,0.00,-
04.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,6,0,0.00,-
04.05.2026,115971938,10. Форма | РСЯ,4890.48,83,4,4.82,1222.62
04.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,1627.12,12,1,8.33,1627.12
05.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,3,0,0.00,-
05.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3296.02,67,2,2.99,1648.01
05.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,832.76,9,2,22.22,416.38
05.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,555.37,14,2,14.29,277.68
05.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,113.16,2,1,50.00,113.16
05.05.2026,115971938,10. Форма | РСЯ,5178.37,91,4,4.40,1294.59
05.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,5,0,0.00,-
05.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,357.62,6,0,0.00,-
05.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,200.90,4,0,0.00,-
05.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1907.26,11,0,0.00,-
06.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,1,0,0.00,-
06.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,75.56,1,0,0.00,-
06.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,321.77,3,0,0.00,-
06.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2564.38,43,2,4.65,1282.19
06.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,85.07,2,0,0.00,-
06.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,436.92,7,1,14.29,436.92
06.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,2196.00,8,1,12.50,2196.00
06.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,461.70,6,0,0.00,-
06.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1473.79,10,0,0.00,-
06.05.2026,115971938,10. Форма | РСЯ,2966.96,50,1,2.00,2966.96
07.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,469.49,3,0,0.00,-
07.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,0.00,0,0,-,-
07.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,4768.93,216,0,0.00,-
07.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,8,1,12.50,0.00
07.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,817.42,3,0,0.00,-
07.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,0.00,0,0,-,-
07.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,216.11,3,0,0.00,-
07.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
07.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3019.18,73,2,2.74,1509.59
07.05.2026,115971938,10. Форма | РСЯ,2258.21,38,1,2.63,2258.21
07.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,228.22,6,0,0.00,-
08.05.2026,115971938,10. Форма | РСЯ,2216.65,29,0,0.00,-
08.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,9,0,0.00,-
08.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,1,0,0.00,-
08.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,4164.34,622,1,0.16,4164.34
08.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,455.18,4,1,25.00,455.18
08.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,133.62,2,0,0.00,-
08.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,66.73,2,0,0.00,-
08.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,0.00,0,0,-,-
08.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,0.00,0,0,-,-
08.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2975.08,53,4,7.55,743.77
08.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,954.33,3,0,0.00,-
09.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,20.14,1,0,0.00,-
09.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2196.47,44,2,4.55,1098.23
09.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
09.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,96.55,1,0,0.00,-
09.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,684.42,5,1,20.00,684.42
09.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,0.00,0,0,-,-
09.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,2,0,0.00,-
09.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,396.09,4,0,0.00,-
09.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,4090.53,278,1,0.36,4090.53
09.05.2026,115971938,10. Форма | РСЯ,1897.46,37,1,2.70,1897.46
09.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,90.98,1,1,100.00,90.98
10.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,0,0,-,-
10.05.2026,115971938,10. Форма | РСЯ,0.00,0,0,-,-
10.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,0.68,2,0,0.00,-
10.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,0.00,0,0,-,-
11.05.2026,115971938,10. Форма | РСЯ,2592.68,47,1,2.13,2592.68
11.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,1478.86,118,0,0.00,-
11.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,274.37,4,0,0.00,-
11.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,244.37,3,0,0.00,-
11.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,468.20,5,1,20.00,468.20
11.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,2,0,0.00,-
11.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,656.03,8,0,0.00,-
11.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,10,0,0.00,-
11.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1642.53,7,0,0.00,-
11.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,258.01,3,0,0.00,-
11.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,4089.94,70,3,4.29,1363.31
12.05.2026,115971938,10. Форма | РСЯ,1723.07,35,1,2.86,1723.07
12.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,314.87,2,0,0.00,-
12.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,1137.84,7,2,28.57,568.92
12.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,3835.67,241,2,0.83,1917.83
12.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,814.68,7,0,0.00,-
12.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,2611.52,70,1,1.43,2611.52
12.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,311.52,3,0,0.00,-
12.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1586.27,6,1,16.67,1586.27
12.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,2,0,0.00,-
12.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,229.89,5,1,20.00,229.89
12.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
13.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,150.91,2,0,0.00,-
13.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,1776.32,43,2,4.65,888.16
13.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,2,0,0.00,-
13.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,766.39,13,2,15.38,383.19
13.05.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
13.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,2926.01,153,4,2.61,731.50
13.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,438.67,3,0,0.00,-
13.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,487.03,5,0,0.00,-
13.05.2026,115971938,10. Форма | РСЯ,5223.39,87,3,3.45,1741.13
13.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,207.71,2,0,0.00,-
13.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,400.54,4,0,0.00,-
14.05.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,206.88,6,0,0.00,-
14.05.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,421.43,30,0,0.00,-
14.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,0.00,0,0,-,-
14.05.2026,115971938,10. Форма | РСЯ,309.46,4,0,0.00,-
14.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,0.00,0,0,-,-
14.05.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,0.00,0,0,-,-
14.05.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,0.00,0,0,-,-
14.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,1,0,0.00,-
14.05.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,0.00,0,0,-,-
14.05.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,198.14,1,0,0.00,-
